Country,State,Year,As On Date,"Number Of Public Blood Bank  (UOM:Number), Scaling Factor:1","Number Of Private Blood Bank (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Redcross (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Trust (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Private (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Mar-23,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Mar-23,40,174,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Mar-23,11,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2023",Mar-23,43,39,,,
India,Bihar,"Calendar Year (Jan - Dec), 2023",Mar-23,54,56,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Mar-23,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Mar-23,38,85,,,
India,Delhi,"Calendar Year (Jan - Dec), 2023",Mar-23,24,55,,,
India,Goa,"Calendar Year (Jan - Dec), 2023",Mar-23,3,2,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Mar-23,29,150,,,
India,Haryana,"Calendar Year (Jan - Dec), 2023",Mar-23,32,109,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Mar-23,20,4,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Mar-23,35,7,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Mar-23,31,34,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Mar-23,42,220,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Mar-23,39,158,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Mar-23,3,0,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Mar-23,1,0,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Mar-23,72,88,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Mar-23,87,280,,,
India,Manipur,"Calendar Year (Jan - Dec), 2023",Mar-23,4,2,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Mar-23,8,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Mar-23,9,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Mar-23,5,1,,,
India,Odisha,"Calendar Year (Jan - Dec), 2023",Mar-23,61,21,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Mar-23,5,12,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mar-23,53,115,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Mar-23,64,161,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Mar-23,5,1,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Mar-23,106,232,,,
India,Telangana,"Calendar Year (Jan - Dec), 2023",Mar-23,61,207,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2023",Mar-23,3,0,,,
India,Tripura,"Calendar Year (Jan - Dec), 2023",Mar-23,12,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Mar-23,111,371,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Mar-23,26,30,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Mar-23,105,47,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Oct-22,1,,0,1,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Oct-22,47,,17,57,70
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Oct-22,12,,0,1,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Oct-22,33,,1,4,45
India,Bihar,"Calendar Year (Jan - Dec), 2022",Oct-22,48,,6,9,44
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Oct-22,3,,0,0,1
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Oct-22,37,,2,23,65
India,Delhi,"Calendar Year (Jan - Dec), 2022",Oct-22,22,,1,12,37
India,Goa,"Calendar Year (Jan - Dec), 2022",Oct-22,3,,0,0,2
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Oct-22,30,,21,86,38
India,Haryana,"Calendar Year (Jan - Dec), 2022",Oct-22,31,,1,22,77
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Oct-22,20,,0,2,2
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022",Oct-22,37,,0,0,6
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Oct-22,32,,3,2,27
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Oct-22,53,,10,56,187
India,Kerala,"Calendar Year (Jan - Dec), 2022",Oct-22,44,,0,16,97
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Oct-22,3,,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Oct-22,1,,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Oct-22,63,,6,49,37
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Oct-22,76,,13,255,26
India,Manipur,"Calendar Year (Jan - Dec), 2022",Oct-22,5,,0,0,2
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Oct-22,9,,0,2,0
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Oct-22,9,,0,0,1
India,Odisha,"Calendar Year (Jan - Dec), 2022",Oct-22,59,,1,6,23
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Oct-22,5,,0,0,15
India,Punjab,"Calendar Year (Jan - Dec), 2022",Oct-22,48,,1,16,94
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Oct-22,63,,0,79,71
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Oct-22,5,,0,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Oct-22,102,,2,60,185
India,Telangana,"Calendar Year (Jan - Dec), 2022",Oct-22,57,,8,68,125
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022",Oct-22,2.00000000000000000000,,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2022",Oct-22,12,,0,0,2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Oct-22,113,,0,126,190
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Oct-22,26,,0,13,14
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Oct-22,91,,0,8,39
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Dec-20,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Dec-20,41,153,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Dec-20,12,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Dec-20,45,36,,,
India,Bihar,"Calendar Year (Jan - Dec), 2020",Dec-20,40,52,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Dec-20,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Dec-20,35,59,,,
India,Delhi,"Calendar Year (Jan - Dec), 2020",Dec-20,23,52,,,
India,Goa,"Calendar Year (Jan - Dec), 2020",Dec-20,3,2,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Dec-20,30,142,,,
India,Haryana,"Calendar Year (Jan - Dec), 2020",Dec-20,26,100,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Dec-20,20,4,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",Dec-20,29.34380580147100572300,5.86876116029420114460,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Dec-20,33,28,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Dec-20,42,209,,,
India,Kerala,"Calendar Year (Jan - Dec), 2020",Dec-20,50,143,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Dec-20,0.65619419852899427700,0.13123883970579885540,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Dec-20,1,0,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Dec-20,70,96,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Dec-20,76,276,,,
India,Manipur,"Calendar Year (Jan - Dec), 2020",Dec-20,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Dec-20,7,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Dec-20,9,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Dec-20,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2020",Dec-20,63,24,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Dec-20,4,12,,,
India,Punjab,"Calendar Year (Jan - Dec), 2020",Dec-20,51,84,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Dec-20,65,104,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Dec-20,4,2,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Dec-20,104,208,,,
India,Telangana,"Calendar Year (Jan - Dec), 2020",Dec-20,65,160,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",Dec-20,2.00000000000000000000,1.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2020",Dec-20,11,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Dec-20,112,256,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Dec-20,24,23,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Dec-20,103,43,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Dec-19,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,39,141,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,11,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2019",Dec-19,49,33,,,
India,Bihar,"Calendar Year (Jan - Dec), 2019",Dec-19,39,45,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Dec-19,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Dec-19,35,55,,,
India,Delhi,"Calendar Year (Jan - Dec), 2019",Dec-19,23,51,,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Dec-19,3,1,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Dec-19,30,130,,,
India,Haryana,"Calendar Year (Jan - Dec), 2019",Dec-19,29,95,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,19,3,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2019",Dec-19,30.32193266152003924710,5.86876116029420114460,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",Dec-19,29,24,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Dec-19,44,187,,,
India,Kerala,"Calendar Year (Jan - Dec), 2019",Dec-19,45,140,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Dec-19,0.67806733847996075290,0.13123883970579885540,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",Dec-19,1,0,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,63,95,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Dec-19,76,264,,,
India,Manipur,"Calendar Year (Jan - Dec), 2019",Dec-19,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",Dec-19,6,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2019",Dec-19,8,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2019",Dec-19,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2019",Dec-19,63,21,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2019",Dec-19,5,13,,,
India,Punjab,"Calendar Year (Jan - Dec), 2019",Dec-19,53,71,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Dec-19,64,87,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2019",Dec-19,4,2,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Dec-19,104,206,,,
India,Telangana,"Calendar Year (Jan - Dec), 2019",Dec-19,38,168,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",Dec-19,2.00000000000000000000,1.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2019",Dec-19,11,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Dec-19,110,238,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",Dec-19,24,19,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Dec-19,100,46,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2018",Dec-18,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,34,135,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,9,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2018",Dec-18,39,32,,,
India,Bihar,"Calendar Year (Jan - Dec), 2018",Dec-18,35,45,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",Dec-18,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",Dec-18,31,51,,,
India,Delhi,"Calendar Year (Jan - Dec), 2018",Dec-18,22,38,,,
India,Goa,"Calendar Year (Jan - Dec), 2018",Dec-18,3,3,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Dec-18,28,125,,,
India,Haryana,"Calendar Year (Jan - Dec), 2018",Dec-18,26,79,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,19,3,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2018",Dec-18,29.34380580147100572300,4.89063430024516762050,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",Dec-18,28,23,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Dec-18,42,174,,,
India,Kerala,"Calendar Year (Jan - Dec), 2018",Dec-18,41,128,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Dec-18,0.65619419852899427700,0.10936569975483237950,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",Dec-18,1,0,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,61,92,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Dec-18,76,257,,,
India,Manipur,"Calendar Year (Jan - Dec), 2018",Dec-18,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",Dec-18,5,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2018",Dec-18,9,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2018",Dec-18,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2018",Dec-18,63,20,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2018",Dec-18,5,13,,,
India,Punjab,"Calendar Year (Jan - Dec), 2018",Dec-18,51,65,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Dec-18,61,80,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Dec-18,2,1,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Dec-18,99,194,,,
India,Telangana,"Calendar Year (Jan - Dec), 2018",Dec-18,30,150,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Dec-18,2.00000000000000000000,1.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2018",Dec-18,11,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Dec-18,105,222,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Dec-18,23,16,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Dec-18,96,45,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2017",Jun-17,2,1,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,32,118,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,9,1,,,
India,Assam,"Calendar Year (Jan - Dec), 2017",Jun-17,38,30,,,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Jun-17,35,41,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",Jun-17,3,1,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",Jun-17,27,40,,,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Jun-17,23,46,,,
India,Goa,"Calendar Year (Jan - Dec), 2017",Jun-17,3,4,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Jun-17,28,117,,,
India,Haryana,"Calendar Year (Jan - Dec), 2017",Jun-17,26,64,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,19,3,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2017",Jun-17,24.45317150122583810250,3.91250744019613409640,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",Jun-17,27,22,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Jun-17,40,160,,,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Jun-17,41,127,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2017",Jun-17,0.54682849877416189750,0.08749255980386590360,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",Jun-17,1,0,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,54,90,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Jun-17,74,254,,,
India,Manipur,"Calendar Year (Jan - Dec), 2017",Jun-17,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",Jun-17,5,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",Jun-17,8,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",Jun-17,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2017",Jun-17,63,20,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",Jun-17,5,12,,,
India,Punjab,"Calendar Year (Jan - Dec), 2017",Jun-17,49,57,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jun-17,52,63,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Jun-17,2,1,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Jun-17,98,193,,,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Jun-17,27,134,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Jun-17,1.00000000000000000000,2.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2017",Jun-17,10,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,104,190,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Jun-17,21,12,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Jun-17,82,46,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2016",Oct-16,2,,,,1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,33,,,,114
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,9,,,,1
India,Assam,"Calendar Year (Jan - Dec), 2016",Oct-16,38,,,,30
India,Bihar,"Calendar Year (Jan - Dec), 2016",Oct-16,32,,,,39
India,Chandigarh,"Calendar Year (Jan - Dec), 2016",Oct-16,3,,,,1
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2016",Oct-16,34,,,,23
India,Delhi,"Calendar Year (Jan - Dec), 2016",Oct-16,23,,,,46
India,Goa,"Calendar Year (Jan - Dec), 2016",Oct-16,3,,,,3
India,Gujarat,"Calendar Year (Jan - Dec), 2016",Oct-16,27,,,,114
India,Haryana,"Calendar Year (Jan - Dec), 2016",Oct-16,26,,,,63
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,19,,,,3
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2016",Oct-16,28.36567894142197219890,,,,3.91250744019613409640
India,Jharkhand,"Calendar Year (Jan - Dec), 2016",Oct-16,27,,,,23
India,Karnataka,"Calendar Year (Jan - Dec), 2016",Oct-16,40,,,,160
India,Kerala,"Calendar Year (Jan - Dec), 2016",Oct-16,41,,,,129
India,Ladakh,"Calendar Year (Jan - Dec), 2016",Oct-16,0.63432105857802780110,,,,0.08749255980386590360
India,Lakshadweep,"Calendar Year (Jan - Dec), 2016",Oct-16,1,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,58,,,,84
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Oct-16,74,,,,252
India,Manipur,"Calendar Year (Jan - Dec), 2016",Oct-16,4,,,,1
India,Meghalaya,"Calendar Year (Jan - Dec), 2016",Oct-16,5,,,,2
India,Mizoram,"Calendar Year (Jan - Dec), 2016",Oct-16,8,,,,2
India,Nagaland,"Calendar Year (Jan - Dec), 2016",Oct-16,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2016",Oct-16,63,,,,20
India,Puducherry,"Calendar Year (Jan - Dec), 2016",Oct-16,3,,,,10
India,Punjab,"Calendar Year (Jan - Dec), 2016",Oct-16,48,,,,55
India,Rajasthan,"Calendar Year (Jan - Dec), 2016",Oct-16,51,,,,58
India,Sikkim,"Calendar Year (Jan - Dec), 2016",Oct-16,2,,,,1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",Oct-16,97,,,,195
India,Telangana,"Calendar Year (Jan - Dec), 2016",Oct-16,26,,,,130
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2016",Oct-16,1.00000000000000000000,,,,2.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2016",Oct-16,10,,,,2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,103,,,,186
India,Uttarakhand,"Calendar Year (Jan - Dec), 2016",Oct-16,17,,,,13
India,West Bengal,"Calendar Year (Jan - Dec), 2016",Oct-16,81,,,,44
