Country,State,Year,"Number Of Sub Centers In Rural Areas (UOM:Number), Scaling Factor:1","Number Of Sub Centers In Urban Areas (UOM:Number), Scaling Factor:1","Primary Helath Centres (Phc) In Rural Areas (UOM:Number), Scaling Factor:1","Primary Helath Centres (Phc) In Urban Areas (UOM:Number), Scaling Factor:1","Number Of Sub Centres Under Health And Wellness Centres (Hwc) (UOM:Number), Scaling Factor:1","Rural Primary Health Centres Under Health And Wellness Centres (Hwc) (UOM:Number), Scaling Factor:1","Urban Primary Health Centres Under Health And Wellness Centres (Hwc) (UOM:Number), Scaling Factor:1","Community Health Centres (Chc) In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres (Chc) In Urban Areas (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",124,0,22,5,,,,4,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",11073,407,1142,547,,,,139,42
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",355,12,126,5,,,,57,0
India,Assam,"Calendar Year (Jan - Dec), 2021",4667,34,920,90,,,,172,29
India,Bihar,"Calendar Year (Jan - Dec), 2021",9375,1024,1492,268,,,,269,32
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",0,0,0,43,,,,0,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",5124,370,770,52,,,,167,3
India,Delhi,"Calendar Year (Jan - Dec), 2021",12,2,5,545,,,,0,0
India,Goa,"Calendar Year (Jan - Dec), 2021",219,0,24,4,,,,6,0
India,Gujarat,"Calendar Year (Jan - Dec), 2021",9132,0,1474,330,,,,344,17
India,Haryana,"Calendar Year (Jan - Dec), 2021",2653,0,394,103,,,,129,2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",2114,1,553,17,,,,93,4
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021",2429,42,891,82,,,,56,23
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",3848,0,291,70,,,,171,7
India,Karnataka,"Calendar Year (Jan - Dec), 2021",8757,515,2138,383,,,,182,30
India,Kerala,"Calendar Year (Jan - Dec), 2021",4933,479,780,164,,,,211,19
India,Ladakh,"Calendar Year (Jan - Dec), 2021",288,0,32,1,,,,7,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",9,0,4,0,,,,3,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",10287,0,1266,306,,,,332,24
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",10673,0,1853,686,,,,256,142
India,Manipur,"Calendar Year (Jan - Dec), 2021",393,23,74,21,,,,8,9
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",459,0,122,25,,,,28,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",300,73,57,9,,,,9,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",434,18,129,7,,,,23,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",6688,0,1288,105,,,,377,7
India,Puducherry,"Calendar Year (Jan - Dec), 2021",53,28,24,15,,,,3,1
India,Punjab,"Calendar Year (Jan - Dec), 2021",2951,0,422,100,,,,150,10
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",13523,66,2133,276,,,,616,69
India,Sikkim,"Calendar Year (Jan - Dec), 2021",147,6,24,2,,,,2,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",8713,0,1422,464,,,,385,15
India,Telangana,"Calendar Year (Jan - Dec), 2021",4229,681,578,256,,,,28,54
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",94,3,12,2,,,,3,1
India,Tripura,"Calendar Year (Jan - Dec), 2021",956,44,108,9,,,,21,2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",20781,0,2919,594,,,,829,12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",1785,66,531,76,,,,52,28
India,West Bengal,"Calendar Year (Jan - Dec), 2021",10357,0,915,456,,,,348,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",124,0,22,5,,,,4,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",7437,21,1142,259,,,,141,57
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",337,10,122,5,,,,57,0
India,Assam,"Calendar Year (Jan - Dec), 2020",4663,15,948,53,,,,197,2
India,Bihar,"Calendar Year (Jan - Dec), 2020",10258,0,1932,102,,,,306,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",0,0,0,42,,,,0,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",5115,370,769,52,,,,166,3
India,Delhi,"Calendar Year (Jan - Dec), 2020",12,3,5,544,,,,0,0
India,Goa,"Calendar Year (Jan - Dec), 2020",219,0,23,4,,,,6,0
India,Gujarat,"Calendar Year (Jan - Dec), 2020",9162,0,1477,322,,,,333,27
India,Haryana,"Calendar Year (Jan - Dec), 2020",2626,0,384,100,,,,124,13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",2114,1,553,19,,,,98,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",2426,45,891,82,,,,63,16
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",3848,0,291,59,,,,171,5
India,Karnataka,"Calendar Year (Jan - Dec), 2020",8891,550,2141,390,,,,182,30
India,Kerala,"Calendar Year (Jan - Dec), 2020",5234,250,782,158,,,,213,16
India,Ladakh,"Calendar Year (Jan - Dec), 2020",289,0,32,0,,,,7,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",7,0,4,0,,,,3,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",10189,0,1234,284,,,,295,25
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",10673,0,1839,651,,,,270,131
India,Manipur,"Calendar Year (Jan - Dec), 2020",416,0,86,9,,,,17,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",448,3,121,24,,,,28,0
India,Mizoram,"Calendar Year (Jan - Dec), 2020",340,37,62,6,,,,9,0
India,Nagaland,"Calendar Year (Jan - Dec), 2020",427,18,131,7,,,,21,0
India,Odisha,"Calendar Year (Jan - Dec), 2020",6688,0,1288,91,,,,377,7
India,Puducherry,"Calendar Year (Jan - Dec), 2020",53,28,24,15,,,,3,1
India,Punjab,"Calendar Year (Jan - Dec), 2020",2951,0,422,100,,,,150,10
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",13531,50,2130,264,,,,589,68
India,Sikkim,"Calendar Year (Jan - Dec), 2020",147,6,24,2,,,,2,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",8713,0,1422,464,,,,385,15
India,Telangana,"Calendar Year (Jan - Dec), 2020",4744,256,636,227,,,,85,10
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",94,3,12,2,,,,3,1
India,Tripura,"Calendar Year (Jan - Dec), 2020",967,32,108,8,,,,22,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",20778,0,2923,593,,,,753,12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",1823,20,245,42,,,,53,19
India,West Bengal,"Calendar Year (Jan - Dec), 2020",10357,0,915,454,,,,348,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",124,0,22,5,28,17,5,4,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",7437,21,1142,243,779,1145,243,141,57
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",356,7,119,5,78,38,4,60,0
India,Assam,"Calendar Year (Jan - Dec), 2019",4659,21,946,56,765,379,52,190,2
India,Bihar,"Calendar Year (Jan - Dec), 2019",9112,1168,1702,325,117,650,97,57,7
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",0,0,0,48,0,0,10,0,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",5205,364,792,45,1424,379,43,170,4
India,Delhi,"Calendar Year (Jan - Dec), 2019",12,246,5,541,0,0,0,0,23
India,Goa,"Calendar Year (Jan - Dec), 2019",218,0,55,4,0,55,5,6,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",9162,0,1477,318,3515,1072,221,348,14
India,Haryana,"Calendar Year (Jan - Dec), 2019",2617,0,385,100,165,350,99,118,13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",2092,12,564,24,259,392,4,85,7
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",2470,22,923,49,244,200,13,77,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",3848,0,291,60,820,132,52,171,6
India,Karnataka,"Calendar Year (Jan - Dec), 2019",9188,247,2176,358,1517,720,336,189,19
India,Kerala,"Calendar Year (Jan - Dec), 2019",5410,0,784,148,0,658,33,211,16
India,Ladakh,"Calendar Year (Jan - Dec), 2019",238,0,32,0,0,0,0,7,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",11,0,4,0,0,0,0,3,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",10226,0,1199,277,1754,1144,132,309,21
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",10647,2,1829,846,1184,1740,425,278,140
India,Manipur,"Calendar Year (Jan - Dec), 2019",418,0,85,8,85,29,1,17,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",440,3,119,24,67,35,19,28,0
India,Mizoram,"Calendar Year (Jan - Dec), 2019",311,59,57,8,42,54,8,9,0
India,Nagaland,"Calendar Year (Jan - Dec), 2019",395,20,130,7,103,46,7,21,0
India,Odisha,"Calendar Year (Jan - Dec), 2019",6688,0,1288,89,304,1227,86,377,7
India,Puducherry,"Calendar Year (Jan - Dec), 2019",53,28,24,15,38,36,1,3,1
India,Punjab,"Calendar Year (Jan - Dec), 2019",2950,97,427,100,1019,349,92,143,12
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",13480,50,2094,383,138,1872,73,548,66
India,Sikkim,"Calendar Year (Jan - Dec), 2019",147,6,24,1,27,13,0,2,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",8713,0,1420,464,859,1374,458,385,15
India,Telangana,"Calendar Year (Jan - Dec), 2019",4744,97,636,249,238,614,239,85,10
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",94,3,10,3,44,12,0,4,0
India,Tripura,"Calendar Year (Jan - Dec), 2019",965,36,107,5,233,32,5,22,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",20778,0,2880,593,1883,1409,401,711,12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",1839,8,257,38,211,194,36,56,12
India,West Bengal,"Calendar Year (Jan - Dec), 2019",10357,0,913,456,670,268,150,348,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",96,0,22,0,28,0,2,4,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",6825,21,0,121,612,1145,243,140,55
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",307,0,101,4,78,42,0,63,0
India,Assam,"Calendar Year (Jan - Dec), 2018",4015,19,698,6,628,248,49,177,2
India,Bihar,"Calendar Year (Jan - Dec), 2018",9865,0,1480,0,84,419,95,150,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",0,4,0,36,0,0,10,0,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",4555,364,657,30,650,135,15,170,4
India,Delhi,"Calendar Year (Jan - Dec), 2018",12,192,5,535,0,0,0,0,0
India,Goa,"Calendar Year (Jan - Dec), 2018",219,0,0,0,0,24,0,5,0
India,Gujarat,"Calendar Year (Jan - Dec), 2018",8353,0,704,247,813,772,71,362,14
India,Haryana,"Calendar Year (Jan - Dec), 2018",2440,32,193,25,164,186,72,115,13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",2089,8,566,20,0,20,0,87,7
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",2836.56789414219721989000,0.00000000000000000000,514.49472838579163367660,33.25631324166713981940,122.26585750612919051250,93.90017856470721831360,14.67190290073550286150,82.16265624411881602440,0.00000000000000000000
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",3644,0,203,7,204,95,50,171,6
India,Karnataka,"Calendar Year (Jan - Dec), 2018",9187,251,1995,364,571,132,71,198,9
India,Kerala,"Calendar Year (Jan - Dec), 2018",5380,0,678,83,0,170,0,227,2
India,Ladakh,"Calendar Year (Jan - Dec), 2018",63.43210585780278011000,0.00000000000000000000,11.50527161420836632340,0.74368675833286018060,2.73414249387080948750,2.09982143529278168640,0.32809709926449713850,1.83734375588118397560,0.00000000000000000000
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",14,0,4,0,0,0,0,3,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",10226,0,1039,107,0,160,29,309,21
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",9729,0,1349,538,939,479,0,364,37
India,Manipur,"Calendar Year (Jan - Dec), 2018",429,0,85,9,61,5,0,23,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",445,0,110,0,32,8,0,28,0
India,Mizoram,"Calendar Year (Jan - Dec), 2018",370,0,57,8,0,2,2,9,0
India,Nagaland,"Calendar Year (Jan - Dec), 2018",377,20,124,2,56,2,3,21,0
India,Odisha,"Calendar Year (Jan - Dec), 2018",6595,0,461,5,93,827,82,377,7
India,Puducherry,"Calendar Year (Jan - Dec), 2018",53,27,9,2,1,15,13,2,2
India,Punjab,"Calendar Year (Jan - Dec), 2018",2511,0,79,16,439,337,0,89,63
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",13382,47,1777,320,130,305,57,571,24
India,Sikkim,"Calendar Year (Jan - Dec), 2018",148,0,24,1,28,5,0,2,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",7728,2183,706,249,985,716,214,385,15
India,Telangana,"Calendar Year (Jan - Dec), 2018",4658,0,0,0,183,636,249,85,10
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",51.00000000000000000000,2.00000000000000000000,6.00000000000000000000,2.00000000000000000000,44.00000000000000000000,7.00000000000000000000,0.00000000000000000000,2.00000000000000000000,2.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2018",932,34,82,0,40,26,5,18,4
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",20056,0,1990,237,726,946,387,679,12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",1804,0,243,0,43,14,0,67,0
India,West Bengal,"Calendar Year (Jan - Dec), 2018",10195,0,640,448,162,268,0,348,39
